ThermalExpansionCoefficient_composition_average,ThermalConductivity_difference,NUnfilled_composition_average,CovalentRadius_arithmetic_average,phi_arithmetic_average,NsValence_difference,SecondIonizationEnergy_composition_average,NfUnfilled_composition_average,BCCvolume_padiff_arithmetic_average,SpaceGroupNumber_arithmetic_average,NdUnfilled_composition_average,IonicRadii_arithmetic_average,IonicRadii_composition_average,BoilingT_composition_average,BCCenergy_pa_composition_average,HeatCapacityMolar_composition_average,NsValence_min_value,BCCvolume_padiff_composition_average,ThirdIonizationEnergy_composition_average,BCCfermi_composition_average,HeatCapacityMolar_arithmetic_average,phi_composition_average,IonizationEnergy_composition_average,Polarizability_composition_average,Density_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,HeatVaporization_composition_average,HHIr_composition_average,HeatFusion_difference,IsHexagonal_composition_average,ICSDVolume_arithmetic_average,ShearModulus_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,n_ws^third_composition_average,Density_composition_average,BCCmagmom_composition_average,FirstIonizationEnergy_composition_average,MendeleevNumber_composition_average,MendeleevNumber_arithmetic_average,AtomicVolume_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,Polarizability_arithmetic_average,BCCvolume_padiff_max_value,ElectronAffinity_arithmetic_average,ElectricalConductivity_composition_average,GSenergy_pa_composition_average,NdValence_composition_average,ElasticModulus_composition_average,AtomicRadii_arithmetic_average,IsBoron_composition_average,CovalentRadius_composition_average,HeatFusion_composition_average,ElectronAffinity_composition_average,NpValence_difference,Electronegativity_composition_average,MendeleevNumber_min_value,GSestBCClatcnt_arithmetic_average,Electronegativity_arithmetic_average,HHIp_composition_average,Electronegativity_difference,SecondIonizationEnergy_difference,IsPnictide_composition_average,target
12.456,406.3,4.18,143.25,4.1125,1.0,17.244040000000002,0.0,-0.03125,217.25,3.36,0.815,0.7816,3767.36,-5.6326517344,24.8484,1.0,-0.1609,30.43422,4.5055311262,24.8375,4.011,698.8879999999999,11.1576,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
17.018000000000004,428.765,0.61,126.8,4.9,0.0,19.39389,0.0,-2.860047619,180.8,0.0,0.5900000000000001,0.6007,3062.815,-4.9279099524,25.2172,2.0,-0.96111190475,33.0027,5.8422418647,23.9168,5.316,809.323,4.9291,7117.200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
11.9964,406.3,4.569999999999999,143.25,4.1125,1.0,16.878488,0.0,-0.03125,217.25,3.76,0.815,0.78772,3832.79,-5.86840666374,24.89746,1.0,-0.18019,29.64639,4.529894131499999,24.8375,3.9579,692.8535999999999,11.75664,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
20.752584741525848,273.0,0.5357464253574642,148.5,3.7,1.0,17.50278122187781,0.0,-0.27,217.25,0.0,0.8999999999999999,1.0004159584041594,2104.6849315068494,-2.3442019920008,25.36476522347765,1.0,-0.3330936906309369,47.649333966603336,3.75110729180082,25.147,3.681946805319468,692.8448255174482,12.963315668429567,5674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
10.295,415.5,6.55,146.20000000000002,4.254,1.0,14.317475,0.0,0.2175,212.6,5.7,0.846,0.994,3446.375,-4.401695113,26.1335,1.0,0.4129374999999999,24.563875,6.95228238975,25.182,3.63,594.4575,21.90075,7431.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
10.0525,415.5,6.65,142.5,4.411666666666667,1.0,14.130475,0.0,0.1829166666666666,214.66666666666669,5.875,0.8200000000000001,0.99,3445.675,-4.57493768325,26.22425,1.0,0.4175625,24.397625,7.03217690625,25.33,3.68375,594.3375000000001,21.967,7677.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
10.538,415.5,6.52,151.25,4.0425,1.0,14.42248,0.0,0.223125,217.25,5.58,0.895,0.991,3437.57,-4.3126097423,26.1073,1.0,0.41195,24.60966,6.9420394548,25.275,3.6164,592.662,21.752,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
10.83,415.5,6.4,151.25,4.0425,1.0,14.5925,0.0,0.223125,217.25,5.4,0.895,0.9805,3422.75,-4.289623196000001,26.0515,1.0,0.405,24.87895,6.907968533,25.275,3.6395,595.13,21.2595,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
11.566,406.3,5.797499999999999,139.8,4.3100000000000005,1.0,15.717515,0.0,0.0139999999999999,212.6,4.75,0.782,0.757175,3858.575,-6.752939226875,24.9909,1.0,-0.1178874999999999,27.27313,5.261637340775,24.832,3.9985,670.5705,12.711375,7504.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
11.725,415.5,6.2,151.25,4.0425,1.0,14.98095,0.0,0.223125,217.25,4.95,0.895,0.9495,3375.5,-4.2323393265,25.906,1.0,0.398375,25.3426,6.9074245715,25.275,3.691,597.105,20.0445,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
12.055,415.5,6.4,151.25,4.0425,1.0,14.907749999999998,0.0,0.223125,217.25,4.95,0.895,0.94,3355.1,-4.232704319,25.894,1.0,0.419875,24.92345,7.0766912575,25.275,3.6785,588.7149999999999,20.077,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
22.6,273.0,1.425,145.75,3.6375,1.0,14.581525,0.0,-0.1624999999999999,217.25,0.0,0.8525,0.8529999999999999,2036.125,-2.399341548,25.318575,1.0,-0.43275,46.850825,4.41127227325,25.087,3.18375,608.295,18.0928333333175,4119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
22.616000000000003,273.0,1.525,145.75,3.6375,1.0,14.720664999999997,0.0,-0.1624999999999999,217.25,0.0,0.8525,0.8438,2056.8250000000003,-2.4338001064,25.283995,1.0,-0.40495,46.401605,4.50864527025,25.087,3.21675,608.0509999999999,17.7141666666515,4119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
22.386000000000003,229.0,1.65,147.33333333333334,3.7,1.0,14.57819,0.0,-0.2133333333333333,225.0,0.0,0.8966666666666667,0.8603000000000001,2122.1000000000004,-2.5182321424,25.34677,1.0,-0.4641999999999999,42.91658,4.511258333500001,25.159666666666663,3.168,592.9559999999999,18.737499999979,4913.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
